x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
25.8218327225 27.2316820000 22.0182158271 22.0149410000 22.0182158271 25.8218327225 22.0149410000 27.2316820000
26.5481717050 27.9582480000 22.0363371325 22.0875970000 22.0363371325 26.5481717050 22.0875970000 27.9582480000
27.0566094927 28.7574700000 22.0490220587 22.0875970000 22.0490220587 27.0566094927 22.0875970000 28.7574700000
27.7829494749 29.4840360000 22.0671433891 22.0875970000 22.0671433891 27.7829494749 22.0875970000 29.4840360000
28.5092894571 30.2106020000 22.0852647194 22.1602540000 22.0852647194 28.5092894571 22.1602540000 30.2106020000
29.3082628377 31.0824810000 22.1051981679 22.2329100000 22.1051981679 29.3082628377 22.2329100000 31.0824810000
30.1798706164 31.8090460000 22.1269437593 22.1602540000 22.1269437593 30.1798706164 22.1602540000 31.8090460000
31.0514783951 32.5356120000 22.1486893507 22.1602540000 22.1486893507 31.0514783951 22.1602540000 32.5356120000
31.9230861738 33.1895210000 22.1704349422 22.2329100000 22.1704349422 31.9230861738 22.2329100000 33.1895210000
32.7946929528 33.8434300000 22.1921805087 22.2329100000 22.1921805087 32.7946929528 22.2329100000 33.8434300000
33.5936673331 34.6426520000 22.2121139820 22.3055670000 22.2121139820 33.5936673331 22.3055670000 34.6426520000
34.4652741121 35.4418750000 22.2338595485 22.3055670000 22.2338595485 34.4652741121 22.3055670000 35.4418750000
35.2624363494 36.1684400000 22.3264274200 22.3782230000 22.3264274200 35.2624363494 22.3782230000 36.1684400000
36.1340441281 37.0403190000 22.3481730114 22.3782230000 22.3481730114 36.1340441281 22.3782230000 37.0403190000
36.8603831106 37.7668850000 22.3662943168 22.3782230000 22.3662943168 36.8603831106 22.3782230000 37.7668850000
37.7319908893 38.5661070000 22.3880399083 22.4508800000 22.3880399083 37.7319908893 22.4508800000 38.5661070000
38.5309642699 39.3653300000 22.4079733567 22.3782230000 22.4079733567 38.5309642699 22.3782230000 39.3653300000
39.3299386502 40.0918950000 22.4279068300 22.3782230000 22.4279068300 39.3299386502 22.3782230000 40.0918950000
40.2015464289 40.7458040000 22.4496524215 22.3782230000 22.4496524215 40.2015464289 22.3782230000 40.7458040000
40.9278854114 41.5450270000 22.4677737269 22.4508800000 22.4677737269 40.9278854114 22.4508800000 41.5450270000
41.7250466739 42.3442490000 22.5603405737 22.5235370000 22.5603405737 41.7250466739 22.5235370000 42.3442490000
42.5240210542 43.0708150000 22.5802740471 22.5235370000 22.5802740471 42.5240210542 22.5235370000 43.0708150000
43.3956288329 43.7973800000 22.6020196385 22.5235370000 22.6020196385 43.3956288329 22.5235370000 43.7973800000
44.2672356119 44.4512890000 22.6237652050 22.5235370000 22.6237652050 44.2672356119 22.5235370000 44.4512890000
45.0662099922 45.2505120000 22.6436986784 22.5235370000 22.6436986784 45.0662099922 22.5235370000 45.2505120000
45.9378177709 45.9770770000 22.6654442698 22.5235370000 22.6654442698 45.9378177709 22.5235370000 45.9770770000
46.7367911516 46.7763000000 22.6853777182 22.5961930000 22.6853777182 46.7367911516 22.5961930000 46.7763000000
47.6083989303 47.5028650000 22.7071233097 22.5961930000 22.7071233097 47.6083989303 22.5961930000 47.5028650000
48.5526401074 48.3020880000 22.7306810192 22.5961930000 22.7306810192 48.5526401074 22.5961930000 48.3020880000
49.4242478861 49.0286530000 22.7524266106 22.5961930000 22.7524266106 49.4242478861 22.5961930000 49.0286530000
50.1505878683 49.7552190000 22.7705479410 22.5961930000 22.7705479410 50.1505878683 22.5961930000 49.7552190000
51.0203825043 50.5544410000 22.8649279056 22.5961930000 22.8649279056 51.0203825043 22.5961930000 50.5544410000
51.8919902830 51.2810070000 22.8866734970 22.6688500000 22.8866734970 51.8919902830 22.6688500000 51.2810070000
52.6183302652 52.0802290000 22.9047948273 22.6688500000 22.9047948273 52.6183302652 22.6688500000 52.0802290000
53.5625714423 52.8067950000 22.9283525368 22.6688500000 22.9283525368 53.5625714423 22.6688500000 52.8067950000
