x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
28.6006877392 30.9823990000 15.8082348887 15.8872290000 15.8082348887 28.6006877392 15.8872290000 30.9823990000
29.1966889940 31.4428980000 15.8809241727 15.8872290000 15.8809241727 29.1966889940 15.8872290000 31.4428980000
29.8427998762 31.9033970000 15.8636577024 15.9332790000 15.8636577024 29.8427998762 15.9332790000 31.9033970000
30.4388021300 32.3638970000 15.9363470310 15.9332790000 15.9363470310 30.4388021300 15.9332790000 32.3638970000
31.1288645393 32.9625460000 15.9671374880 15.9332790000 15.9671374880 31.1288645393 15.9332790000 32.9625460000
31.7729227214 33.4230450000 15.9958752449 15.9332790000 15.9958752449 31.7729227214 15.9332790000 33.4230450000
32.4169809035 33.8374950000 16.0246130018 15.9332790000 16.0246130018 32.4169809035 15.9332790000 33.8374950000
32.9250791040 34.3440440000 16.0011884311 15.9332790000 16.0011884311 32.9250791040 15.9332790000 34.3440440000
33.5231330589 34.8966430000 16.0278734879 15.9793290000 16.0278734879 33.5231330589 15.9793290000 34.8966430000
34.0271268582 35.4952930000 16.0964574163 15.9793290000 16.0964574163 34.0271268582 15.9793290000 35.4952930000
34.6251808131 36.0018420000 16.1231424731 16.0253790000 16.1231424731 34.6251808131 16.0253790000 36.0018420000
35.2232347680 36.4623410000 16.1498275299 16.0253790000 16.1498275299 35.2232347680 16.0253790000 36.4623410000
35.7292812674 36.9228410000 16.1724072310 16.0253790000 16.1724072310 35.7292812674 16.0253790000 36.9228410000
36.2833836952 37.4754400000 16.1510353605 16.0714290000 16.1510353605 36.2833836952 16.0714290000 37.4754400000
36.7413722683 37.9359390000 16.2175665442 16.0714290000 16.2175665442 36.7413722683 16.0714290000 37.9359390000
37.2954746961 38.3964390000 16.1961946737 16.1174790000 16.1961946737 37.2954746961 16.1174790000 38.3964390000
37.8475254227 38.9490380000 16.2208270749 16.1174790000 16.2208270749 37.8475254227 16.1174790000 38.9490380000
38.4455793776 39.4095370000 16.2475121317 16.1174790000 16.2475121317 38.4455793776 16.1174790000 39.4095370000
39.0436333325 39.9621370000 16.2741971885 16.1174790000 16.2741971885 39.0436333325 16.1174790000 39.9621370000
39.6876915146 40.5147360000 16.3029349454 16.1174790000 16.3029349454 39.6876915146 16.1174790000 40.5147360000
40.3317496967 41.0212850000 16.3316727023 16.1174790000 16.3316727023 40.3317496967 16.1174790000 41.0212850000
40.9298046506 41.4817850000 16.3583578037 16.1635280000 16.3583578037 40.9298046506 16.1635280000 41.4817850000
41.5738628327 41.9422840000 16.3870955606 16.2095780000 16.3870955606 41.5738628327 16.2095780000 41.9422840000
42.1719167875 42.4488330000 16.4137806174 16.2095780000 16.4137806174 42.1719167875 16.2095780000 42.4488330000
42.7699707424 42.9553830000 16.4404656742 16.2095780000 16.4404656742 42.7699707424 16.2095780000 42.9553830000
43.3680246973 43.3237820000 16.4671507310 16.1635280000 16.4671507310 43.3680246973 16.1635280000 43.3237820000
43.8740711967 43.7382320000 16.4897304321 16.2095780000 16.4897304321 43.8740711967 16.2095780000 43.7382320000
