x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
18.6251667619 16.1584120000 31.9718745422 31.8767910000 31.9718745422 18.6251667619 31.8767910000 16.1584120000
19.3926652563 16.8747440000 31.9727555377 31.8767910000 31.9727555377 19.3926652563 31.8767910000 16.8747440000
20.0578895515 17.4887430000 31.9223521011 31.8767910000 31.9223521011 20.0578895515 31.8767910000 17.4887430000
20.7742210796 18.2050760000 31.9231743631 31.8767910000 31.9231743631 20.7742210796 31.8767910000 18.2050760000
21.3881609416 18.7679080000 31.9750461255 31.8767910000 31.9750461255 21.3881609416 31.8767910000 18.7679080000
22.0021595371 19.5354070000 31.9757509217 31.9279570000 31.9757509217 22.0021595371 31.9279570000 19.5354070000
22.6161591326 19.8935730000 31.9764557190 31.9791240000 31.9764557190 22.6161591326 31.9791240000 19.8935730000
23.1277660620 20.4564060000 32.0282100156 31.9791240000 32.0282100156 23.1277660620 31.9791240000 20.4564060000
23.7417646575 21.1215720000 32.0289148118 31.9791240000 32.0289148118 23.7417646575 31.9791240000 21.1215720000
24.3045962867 21.8379040000 32.0295608745 31.9791240000 32.0295608745 24.3045962867 31.9791240000 21.8379040000
25.0209288148 22.5030700000 32.0303831376 31.9791240000 32.0303831376 25.0209288148 31.9791240000 22.5030700000
25.6349274103 23.2705690000 32.0310879338 31.9791240000 32.0310879338 25.6349274103 31.9791240000 23.2705690000
26.1977600395 23.9357350000 32.0317339976 31.9791240000 32.0317339976 26.1977600395 31.9791240000 23.9357350000
26.7605916687 24.6520670000 32.0323800603 31.9791240000 32.0323800603 26.7605916687 31.9791240000 24.6520670000
27.3745902641 25.0614000000 32.0330848564 32.0302910000 32.0330848564 27.3745902641 32.0302910000 25.0614000000
27.9374228933 25.6242330000 32.0337309203 32.0302910000 32.0337309203 27.9374228933 32.0302910000 25.6242330000
28.5514214888 26.2893980000 32.0344357164 32.0302910000 32.0344357164 28.5514214888 32.0302910000 26.2893980000
29.1654200843 26.9033970000 32.0351405126 32.0302910000 32.0351405126 29.1654200843 32.0302910000 26.9033970000
29.8305856461 27.5173970000 32.0359040422 32.0814570000 32.0359040422 29.8305856461 32.0814570000 27.5173970000
30.3934182753 28.2337290000 32.0365501061 32.0814570000 32.0365501061 30.3934182753 32.0814570000 28.2337290000
30.8027500056 28.9500610000 32.0370199694 32.0814570000 32.0370199694 30.8027500056 32.0814570000 28.9500610000
31.4678568351 29.4105610000 32.0889494654 32.0302910000 32.0889494654 31.4678568351 32.0302910000 29.4105610000
32.0306894643 29.8198940000 32.0895955292 32.1326240000 32.0895955292 32.0306894643 32.1326240000 29.8198940000
32.5934623600 30.5362260000 32.1414085581 32.1837900000 32.1414085581 32.5934623600 32.1837900000 30.5362260000
33.1051280229 31.1502250000 32.1419958885 32.1326240000 32.1419958885 33.1051280229 32.1326240000 31.1502250000
33.7191266184 31.7642240000 32.1427006846 32.1326240000 32.1427006846 33.7191266184 32.1326240000 31.7642240000
34.3331262139 32.4293900000 32.1434054819 32.1326240000 32.1434054819 34.3331262139 32.1326240000 32.4293900000
34.8959578431 33.1457220000 32.1440515446 32.1326240000 32.1440515446 34.8959578431 32.1326240000 33.1457220000
35.4587904723 34.0155550000 32.1446976084 32.2861240000 32.1446976084 35.4587904723 32.2861240000 34.0155550000
35.9704561352 34.5272210000 32.1452849388 32.2349570000 32.1452849388 35.9704561352 32.2349570000 34.5272210000
36.5332877644 34.9877200000 32.1459310014 32.2349570000 32.1459310014 36.5332877644 32.2349570000 34.9877200000
37.1472873598 35.6528860000 32.1466357987 32.2861240000 32.1466357987 37.1472873598 32.2861240000 35.6528860000
37.7101189890 36.3180520000 32.1472818614 32.2349570000 32.1472818614 37.7101189890 32.2349570000 36.3180520000
38.3241175845 37.0343840000 32.1479866576 32.3372900000 32.1479866576 38.3241175845 32.3372900000 37.0343840000
38.8869502137 37.6995500000 32.1486327214 32.3372900000 32.1486327214 38.8869502137 32.3372900000 37.6995500000
39.4497828429 38.4670490000 32.1492787852 32.3372900000 32.1492787852 39.4497828429 32.3372900000 38.4670490000
39.8590558409 39.2857140000 32.2009146149 32.3372900000 32.2009146149 39.8590558409 32.3372900000 39.2857140000
40.4218884701 40.0532130000 32.2015606787 32.3372900000 32.2015606787 40.4218884701 32.3372900000 40.0532130000
41.0358870656 40.7183790000 32.2022654748 32.4396230000 32.2022654748 41.0358870656 32.4396230000 40.7183790000
41.7010526274 41.5370450000 32.2030290045 32.4396230000 32.2030290045 41.7010526274 32.4396230000 41.5370450000
42.2126595568 42.3557100000 32.2547833011 32.4907900000 32.2547833011 42.2126595568 32.4907900000 42.3557100000
42.7243252197 43.0720430000 32.2553706314 32.4396230000 32.2553706314 42.7243252197 32.4396230000 43.0720430000
43.4406567478 43.6860420000 32.2561928934 32.4907900000 32.2561928934 43.4406567478 32.4907900000 43.6860420000
44.0034893770 44.1465410000 32.2568389573 32.5419570000 32.2568389573 44.0034893770 32.5419570000 44.1465410000
44.5663210062 44.7605400000 32.2574850199 32.5419570000 32.2574850199 44.5663210062 32.5419570000 44.7605400000
45.0268207028 45.1698730000 32.2580136179 32.5419570000 32.2580136179 45.0268207028 32.5419570000 45.1698730000
