x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
21.8494319756 22.1408100000 10.0822466068 10.0388870000 10.0822466068 21.8494319756 10.0388870000 22.1408100000
22.2636492222 22.6473600000 10.0961046820 10.0849370000 10.0961046820 22.2636492222 10.0849370000 22.6473600000
22.7699159673 23.1078590000 10.1130423703 10.0849370000 10.1130423703 22.7699159673 10.0849370000 23.1078590000
23.2316972533 23.6144090000 10.0824159858 10.0849370000 10.0824159858 23.2316972533 10.0849370000 23.6144090000
23.6919397489 24.0749080000 10.0978138843 10.0849370000 10.0978138843 23.6919397489 10.0849370000 24.0749080000
24.1982054945 24.5354070000 10.1147515392 10.1309860000 10.1147515392 24.1982054945 10.1309860000 24.5354070000
24.6584469907 24.9959070000 10.1301494042 10.1309860000 10.1301494042 24.6584469907 10.1309860000 24.9959070000
25.1186894862 25.4564060000 10.1455473027 10.1309860000 10.1455473027 25.1186894862 10.1309860000 25.4564060000
25.6249552319 25.8708560000 10.1624849576 10.1770360000 10.1624849576 25.6249552319 10.1770360000 25.8708560000
26.0851967280 26.3313550000 10.1778828226 10.1770360000 10.1778828226 26.0851967280 10.1770360000 26.3313550000
26.5454392236 26.8379040000 10.1932807211 10.2230860000 10.1932807211 26.5454392236 10.2230860000 26.8379040000
27.0517049693 27.3905030000 10.2102183760 10.2691360000 10.2102183760 27.0517049693 10.2691360000 27.3905030000
27.6039949645 27.8970530000 10.2286958207 10.2230860000 10.2286958207 27.6039949645 10.2230860000 27.8970530000
28.1102617096 28.4496520000 10.2456335090 10.2230860000 10.2456335090 28.1102617096 10.2230860000 28.4496520000
28.7085759544 28.9562010000 10.2656507436 10.2230860000 10.2656507436 28.7085759544 10.2230860000 28.9562010000
29.2608659497 29.5088010000 10.2841281884 10.2230860000 10.2841281884 29.2608659497 10.2230860000 29.5088010000
29.7671316953 30.0614000000 10.3010658433 10.3151860000 10.3010658433 29.7671316953 10.3151860000 30.0614000000
30.2273741909 30.6139990000 10.3164637417 10.3151860000 10.3164637417 30.2273741909 10.3151860000 30.6139990000
30.8256884357 31.0744990000 10.3364809763 10.3151860000 10.3364809763 30.8256884357 10.3151860000 31.0744990000
31.3319541814 31.6270980000 10.3534186312 10.3151860000 10.3534186312 31.3319541814 10.3151860000 31.6270980000
31.9302694256 32.7322960000 10.3734358992 10.3612360000 10.3734358992 31.9302694256 10.3612360000 32.7322960000
32.8967766674 33.1467460000 10.4057714192 10.4072860000 10.4057714192 32.8967766674 10.4072860000 33.1467460000
33.4950909122 33.6072450000 10.4257886538 10.4072860000 10.4257886538 33.4950909122 10.4072860000 33.6072450000
34.0013576573 34.0677450000 10.4427263421 10.4072860000 10.4427263421 34.0013576573 10.4072860000 34.0677450000
34.7377446508 34.6203440000 10.4673629462 10.4072860000 10.4673629462 34.7377446508 10.4072860000 34.6203440000
35.2440103964 35.1729430000 10.4843006011 10.4072860000 10.4843006011 35.2440103964 10.4072860000 35.1729430000
35.7042518926 35.5873930000 10.4996984661 10.4533360000 10.4996984661 35.7042518926 10.4533360000 35.5873930000
36.1644943881 36.0478920000 10.5150963646 10.4993860000 10.5150963646 36.1644943881 10.4993860000 36.0478920000
37.0389541303 36.6004910000 10.5443523383 10.4993860000 10.5443523383 37.0389541303 10.4993860000 36.6004910000
37.5912441255 37.1070410000 10.5628297830 10.4993860000 10.5628297830 37.5912441255 10.4993860000 37.1070410000
38.0990496610 37.7056900000 10.5337431884 10.4993860000 10.5337431884 38.0990496610 10.4993860000 37.7056900000
38.5577523667 38.4885390000 10.5951653364 10.4533360000 10.5951653364 38.5577523667 10.4533360000 38.4885390000
38.9274851536 38.8569380000 10.5614593722 10.4993860000 10.5614593722 38.9274851536 10.4993860000 38.8569380000
