x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
14.5918183087 13.5589440000 16.9327184898 16.9095370000 16.9327184898 14.5918183087 16.9095370000 13.5589440000
15.1235164213 14.2374130000 16.9112092653 16.9617270000 16.9112092653 15.1235164213 16.9617270000 14.2374130000
15.7105349557 14.8636920000 16.9407186419 16.9095370000 16.9407186419 15.7105349557 16.9095370000 14.8636920000
16.2932516695 15.4899710000 16.8638889956 16.9095370000 16.8638889956 16.2932516695 16.9095370000 15.4899710000
16.7717792714 16.0118710000 16.8445307219 16.8573480000 16.8445307219 16.7717792714 16.8573480000 16.0118710000
17.3587978059 16.6381500000 16.8740400985 16.8573480000 16.8740400985 17.3587978059 16.8573480000 16.6381500000
17.9415145196 17.3166190000 16.7972104522 16.8573480000 16.7972104522 17.9415145196 16.8573480000 17.3166190000
18.5285330541 17.9950880000 16.8267198289 16.8573480000 16.8267198289 18.5285330541 16.8573480000 17.9950880000
19.1687211000 18.6213670000 16.8540782953 16.8573480000 16.8540782953 19.1687211000 16.8573480000 18.6213670000
19.7535887241 19.2998360000 16.8304181604 16.8051580000 16.8304181604 19.7535887241 16.8051580000 19.2998360000
20.3384563482 19.9783050000 16.8067580256 16.8051580000 16.8067580256 20.3384563482 16.8051580000 19.9783050000
20.9254748827 20.6567740000 16.8362674023 16.7529680000 16.8362674023 20.9254748827 16.7529680000 20.6567740000
21.6166815298 21.2308640000 16.8083054468 16.8051580000 16.8083054468 21.6166815298 16.8051580000 21.2308640000
22.3078881769 21.9615230000 16.7803434913 16.8051580000 16.7803434913 22.3078881769 16.8051580000 21.9615230000
22.9990958232 22.4834220000 16.7523814954 16.7529680000 16.7523814954 22.9990958232 16.7529680000 22.4834220000
23.6903024704 23.2140810000 16.7244195400 16.7529680000 16.7244195400 23.6903024704 16.7529680000 23.2140810000
24.2241515337 23.9969300000 16.7560808262 16.7529680000 16.7560808262 24.2241515337 16.7529680000 23.9969300000
24.9685286915 24.7275890000 16.7259679199 16.7007780000 16.7259679199 24.9685286915 16.7007780000 24.7275890000
