x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
27.4052895537 26.2889890000 33.9825702167 34.0401150000 33.9825702167 27.4052895537 34.0401150000 27.2468280000
28.2133535597 27.2468280000 34.0792010295 34.0401150000 34.0792010295 28.2133535597 34.1137950000 27.9099470000
28.8762059464 27.9099470000 34.0980031997 34.1137950000 34.0980031997 28.8762059464 34.1137950000 28.6467460000
29.7600094619 28.6467460000 34.1230727694 34.1137950000 34.1230727694 29.7600094619 34.1137950000 29.3835450000
30.6438129773 29.3835450000 34.1481423392 34.1137950000 34.1481423392 30.6438129773 34.1137950000 30.1203440000
31.6749162457 30.1203440000 34.1773901469 34.1137950000 34.1773901469 31.6749162457 34.1137950000 30.9308230000
32.5587197612 30.9308230000 34.2024597166 34.1137950000 34.2024597166 32.5587197612 34.2611540000 31.4465820000
33.3667837956 31.4465820000 34.2990895299 34.2611540000 34.2990895299 33.3667837956 34.2611540000 32.1833810000
34.1011974254 32.1833810000 34.3936312095 34.2611540000 34.3936312095 34.1011974254 34.2611540000 32.9938600000
34.9155288026 32.9938600000 34.2693118932 34.2611540000 34.2693118932 34.9155288026 34.2611540000 33.8780190000
35.6520315655 33.8780190000 34.2902031966 34.2611540000 34.2902031966 35.6520315655 34.3348340000 34.6148180000
36.3885343285 34.6148180000 34.3110944999 34.3348340000 34.3110944999 36.3885343285 34.2611540000 35.7936960000
37.2723378440 35.7936960000 34.3361640697 34.2611540000 34.3361640697 37.2723378440 34.2611540000 36.3831350000
38.0824909832 36.3831350000 34.3591445062 34.2611540000 34.3591445062 38.0824909832 34.2611540000 37.1199350000
38.8148155081 37.1199350000 34.5273355625 34.2611540000 34.5273355625 38.8148155081 34.4085140000 37.5620140000
39.4040175186 37.5620140000 34.5440485996 34.4085140000 34.5440485996 39.4040175186 34.3348340000 38.2251330000
39.9911303959 38.2251330000 34.6344120129 34.3348340000 34.6344120129 39.9911303959 34.4821940000 38.7408920000
40.8012835351 38.7408920000 34.6573924494 34.4821940000 34.6573924494 40.8012835351 34.5558740000 39.6250510000
41.5377862980 39.6250510000 34.6782837528 34.5558740000 34.6782837528 41.5377862980 34.4821940000 40.5092100000
42.2742890610 40.5092100000 34.6991750562 34.4821940000 34.6991750562 42.2742890610 34.5558740000 41.5407290000
42.8634910714 41.5407290000 34.7158880933 34.5558740000 34.7158880933 42.8634910714 34.5558740000 42.3512080000
43.6020829676 42.3512080000 34.6631290204 34.5558740000 34.6631290204 43.6020829676 34.5558740000 42.9406470000
44.2649353543 42.9406470000 34.6819311906 34.5558740000 34.6819311906 44.2649353543 34.5558740000 44.1195250000
45.0014381172 44.1195250000 34.7028224940 34.5558740000 34.7028224940 45.0014381172 34.6295540000 44.7089640000
45.7379408802 44.7089640000 34.7237137974 34.6295540000 34.7237137974 45.7379408802 34.6295540000 45.5931230000
46.5480940194 45.5931230000 34.7466942340 34.6295540000 34.7466942340 46.5480940194 34.7032340000 46.4772820000
47.2088582725 46.4772820000 34.8391468088 34.7032340000 34.8391468088 47.2088582725 34.7769140000 47.2140810000
47.9453610355 47.2140810000 34.8600381122 34.7769140000 34.8600381122 47.9453610355 34.7032340000 48.0245600000
48.6061242890 48.0245600000 34.9524906586 34.7032340000 34.9524906586 48.6061242890 34.7769140000 48.4666390000
49.3447161851 48.4666390000 34.8997315858 34.7769140000 34.8997315858 49.3447161851 34.8505940000 49.3507980000
50.0812189481 49.3507980000 34.9206228892 34.8505940000 34.9206228892 50.0812189481 34.8505940000 50.1612770000
50.9608441972 50.1612770000 35.0929932114 34.8505940000 35.0929932114 50.9608441972 34.9242730000 50.8980760000
51.6973469602 50.8980760000 35.1138845148 34.9242730000 35.1138845148 51.6973469602 34.9242730000 51.7085550000
52.5790603429 51.7085550000 35.2126044324 34.9242730000 35.2126044324 52.5790603429 34.9242730000 52.6663940000
53.4628638583 52.6663940000 35.2376740022 34.9242730000 35.2376740022 53.4628638583 34.9242730000 53.5505530000
54.2730169975 53.5505530000 35.2606544388 34.9242730000 35.2606544388 54.2730169975 35.0716330000 54.2136720000
55.1568205130 54.2136720000 35.2857240085 35.0716330000 35.2857240085 55.1568205130 35.0716330000 54.9504710000
55.8933232760 54.9504710000 35.3066153119 35.0716330000 35.3066153119 55.8933232760 35.0716330000 55.6135900000
56.5561756627 55.6135900000 35.3254174821 35.0716330000 35.3254174821 56.5561756627 35.0716330000 56.3503890000
57.2905892924 56.3503890000 35.4199591617 35.0716330000 35.4199591617 57.2905892924 35.0716330000 57.0135080000
58.0270920554 57.0135080000 35.4408504651 35.0716330000 35.4408504651 58.0270920554 35.1453130000 57.8239870000
58.7635948184 57.8239870000 35.4617417685 35.1453130000 35.4617417685 58.7635948184 35.2189930000 58.4871060000
