s_(um) X_pre Y_pre X_post Y_post D_normal
13.5554097663 13.5349773181 0.2195565214 13.5390209190 0.1781342663 -0.0414268694
13.7672130439 13.7467804561 0.2197996458 13.7508241966 0.1781342663 -0.0416699938
13.9790163215 13.9585835942 0.2200427702 13.9626274742 0.1781342663 -0.0419131182
14.1908195991 14.1703867322 0.2202858946 14.1744307518 0.1781342663 -0.0421562426
14.4026228767 14.3821898703 0.2205290190 14.3862340294 0.1781342663 -0.0423993670
14.6144261543 14.5939930084 0.2207721434 14.5980373070 0.1781342663 -0.0426424914
14.8262294319 14.8057961464 0.2210152678 14.8098405846 0.1781342663 -0.0429026610
15.0380327095 15.0175311583 0.2231087146 15.0216438622 0.1781342663 -0.0451056235
15.2498359871 15.2287787100 0.2384416956 15.2334471397 0.1781342663 -0.0604871553
15.4616392647 15.4400262617 0.2537746767 15.4452504173 0.1781342663 -0.0758201364
15.6734425423 15.6512738134 0.2691076577 15.6570536949 0.1781342663 -0.0911435108
15.8852458199 15.8629280212 0.2733957611 15.8688166301 0.1793458969 -0.0941074880
16.0970490975 16.0747311593 0.2736388855 16.0801508078 0.1934346768 -0.0802103769
16.3088523751 16.2865342974 0.2738820099 16.2914849856 0.2075234568 -0.0663433720
16.5206556527 16.4982718890 0.2723657623 16.5028191633 0.2216122368 -0.0505218496
16.7324589303 16.7094697954 0.2563634900 16.7133993294 0.2429087190 -0.0131194287
16.9442622079 16.9206677019 0.2403612177 16.9230738417 0.2728624717 0.0325901496
17.1560654855 17.1318656083 0.2243589455 17.1343366587 0.2804672663 0.0561619539
17.3678687631 17.3436436488 0.2239284099 17.3461399363 0.2804672663 0.0565399553
17.5796720407 17.5554467869 0.2241715343 17.5579432139 0.2804672663 0.0562928293
17.7914753183 17.7672499249 0.2244146587 17.7697464915 0.2804672663 0.0559722790
18.0032785959 17.9786196608 0.2347970701 17.9815497691 0.2804672663 0.0453733948
18.2150818735 18.1896709772 0.2526287902 18.1933530467 0.2804672663 0.0274296482
18.4268851511 18.4007222936 0.2704605102 18.4051563243 0.2804672663 0.0097401598
18.6386884287 18.6122754580 0.2765516796 18.6169596019 0.2804672663 0.0038450717
18.8504917063 18.8240785960 0.2767948040 18.8287628795 0.2804672663 0.0036670829
19.0622949839 19.0358817341 0.2770379284 19.0405661571 0.2804672663 0.0034239585
19.2740982615 19.2476848722 0.2772810528 19.2523694347 0.2804672663 0.0031808341
19.4859015391 19.4594880102 0.2775241772 19.4641727123 0.2804672663 0.0029377097
19.6977048167 19.6712911483 0.2777673016 19.6759759899 0.2804672663 0.0024889673
19.9095080943 19.8821590773 0.2963382225 19.8877792675 0.2804672663 -0.0163297710
20.1213113719 20.0928868684 0.3176555034 20.0995825451 0.2804672663 -0.0375999586
20.3331146495 20.3040898249 0.3296607117 20.3113858227 0.2804672663 -0.0493840064
20.5449179271 20.5158929629 0.3299038361 20.5231891003 0.2804672663 -0.0494449123
20.7567212047 20.7276961010 0.3301469605 20.7349923779 0.2804672663 -0.0496880367
20.9685244822 20.9394992391 0.3303900849 20.9467956555 0.2804672663 -0.0499311611
21.1803277598 21.1513023771 0.3306332093 21.1585989331 0.2804672663 -0.0501742855
21.3921310374 21.3631055152 0.3308763337 21.3704022107 0.2804672663 -0.0504174099
21.6039343150 21.5749086532 0.3311194581 21.5822054883 0.2804672663 -0.0506605343
21.8157375926 21.7867117913 0.3313625825 21.7935515492 0.2878111440 -0.0435592610
22.0275408702 21.9985149294 0.3316057069 22.0037192321 0.3140822969 -0.0175293723
22.2393441478 22.2103180674 0.3318488313 22.2144297557 0.3316342663 -0.0002192846
22.4511474254 22.4221212055 0.3320919557 22.4262330333 0.3316342663 -0.0004624090
22.6629507030 22.6339243435 0.3323350800 22.6380363109 0.3316342663 -0.0007055334
22.8747539806 22.8457274816 0.3325782044 22.8498395885 0.3316342663 -0.0009486578
23.0865572582 23.0575306197 0.3328213288 23.0616428661 0.3316342663 -0.0011917822
23.2983605358 23.2693337577 0.3330644532 23.2734461437 0.3316342663 -0.0014349066
23.5101638134 23.4811368958 0.3333075776 23.4852494213 0.3316342663 -0.0016780310
23.7219670910 23.6929400338 0.3335507020 23.6970526989 0.3316342663 -0.0019211554
23.9337703686 23.9047431719 0.3337938264 23.9088559765 0.3316342663 -0.0021642798
24.1455736462 24.1165463100 0.3340369508 24.1201945729 0.3428060886 0.0087649442
24.3573769238 24.3283494480 0.3342800752 24.3312662497 0.3603951658 0.0261117253
24.5691802014 24.5401525861 0.3345231996 24.5423379265 0.3779842431 0.0434585063
24.7809834790 24.7519557241 0.3347663240 24.7539408863 0.3828002663 0.0480316318
24.9927867566 24.9637588622 0.3350094484 24.9657441639 0.3828002663 0.0477885074
25.2045900342 25.1755620003 0.3352525728 25.1775474415 0.3828002663 0.0475453831
