x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
12.2896722682 13.7431630000 22.0092145231 22.0548380000 22.0757657373 14.3321813344 22.0548380000 13.7431630000
12.9258767900 14.3817850000 22.0938409104 22.1187010000 22.0327348707 14.9725453213 22.1187010000 14.3817850000
13.6279891878 14.8926840000 22.1167178872 22.1187010000 22.0556118475 15.6746577191 22.1187010000 14.8926840000
14.3321813344 15.4674440000 22.0757657373 22.1187010000 22.0784888244 16.3767701169 22.1187010000 15.4674440000
14.9725453213 16.0422050000 22.0327348707 22.1187010000 22.0992860849 17.0150543875 22.1187010000 16.0422050000
15.6746577191 16.6169650000 22.0556118475 22.1187010000 22.1242427780 17.7809949125 22.1187010000 16.6169650000
16.3767701169 17.1917260000 22.0784888244 22.1187010000 22.1450400386 18.4192791831 22.1187010000 17.1917260000
17.0150543875 17.7026240000 22.0992860849 22.1825630000 22.1658372991 19.0575634537 22.1825630000 17.7026240000
17.7809949125 18.2773840000 22.1242427780 22.1187010000 22.1228064325 19.6979274406 22.1187010000 18.2773840000
18.4192791831 18.8521450000 22.1450400386 22.1825630000 22.1436036605 20.3362107117 22.1825630000 18.8521450000
19.0575634537 19.4269050000 22.1658372991 22.1187010000 22.1644009210 20.9744949823 22.1187010000 19.4269050000
19.6979274406 19.9378040000 22.1228064325 22.1825630000 22.1872778978 21.6766073801 22.1825630000 19.9378040000
20.3362107117 20.5125640000 22.1436036605 22.1825630000 22.2080751584 22.3148916507 22.1825630000 20.5125640000
20.9744949823 21.1511870000 22.1644009210 22.1825630000 22.1650442917 22.9552556376 22.1825630000 21.1511870000
21.6766073801 21.7259480000 22.1872778978 22.1825630000 22.1858415523 23.5935399082 22.1825630000 21.7259480000
22.3148916507 22.4922950000 22.2080751584 22.1825630000 22.2066387803 24.2318231793 22.1825630000 22.4922950000
22.9552556376 23.1309180000 22.1650442917 22.1825630000 22.2315955060 24.9977647038 22.1825630000 23.1309180000
23.5935399082 23.7695400000 22.1858415523 22.1825630000 22.1906433561 25.7019568504 22.1825630000 23.7695400000
24.2318231793 24.4081630000 22.2066387803 22.1825630000 22.2176797655 26.5317255027 22.1825630000 24.4081630000
24.9977647038 24.9190620000 22.2315955060 22.1825630000 22.2405567749 27.2338389000 22.1825630000 24.9190620000
25.7019568504 25.5576840000 22.1906433561 22.2464250000 22.2634337518 27.9359512978 22.2464250000 25.5576840000
25.9506797483 26.0685830000 22.2051379010 22.2464250000 22.2924863432 28.6314720856 22.2464250000 26.0685830000
26.5317255027 26.6433430000 22.2176797655 22.2464250000 22.2473747608 29.2080079778 22.2464250000 26.6433430000
27.2338389000 27.3458280000 22.2405567749 22.2464250000 22.2702517376 29.9101203756 22.2464250000 27.3458280000
27.9359512978 27.9844510000 22.2634337518 22.2464250000 22.2952084308 30.6760609006 22.2464250000 27.9844510000
28.6314720856 28.6230740000 22.2924863432 22.2464250000 22.3180854076 31.3781732985 22.2464250000 28.6230740000
29.2080079778 29.3255590000 22.2473747608 22.2464250000 22.3409624170 32.0802866957 22.2464250000 29.3255590000
29.9101203756 29.9641820000 22.2702517376 22.2464250000 22.2979315178 32.7206496831 22.2464250000 29.9641820000
30.6760609006 30.6666670000 22.2952084308 22.2464250000 22.3187287783 33.3589339537 22.2464250000 30.6666670000
31.3781732985 31.3691520000 22.3180854076 22.2464250000 22.3395260389 33.9972182243 22.2464250000 31.3691520000
32.0802866957 32.0077750000 22.3409624170 22.3102870000 22.3624030157 34.6993306221 22.3102870000 32.0077750000
32.7206496831 32.6463970000 22.2979315178 22.3102870000 22.3811205600 35.2737867655 22.3102870000 32.6463970000
33.3589339537 33.1572960000 22.3187287783 22.2464250000 22.4019177880 35.9120700366 22.2464250000 33.1572960000
33.9972182243 33.7320560000 22.3395260389 22.2464250000 22.3630463864 36.6800912774 22.2464250000 33.7320560000
34.6993306221 34.3706790000 22.3624030157 22.3102870000 22.3220942366 37.3842834241 22.3102870000 34.3706790000
35.2737867655 35.0093020000 22.3811205600 22.3102870000 22.3428914971 38.0225676946 22.3102870000 35.0093020000
35.9120700366 35.7117870000 22.4019177880 22.3102870000 22.3636887251 38.6608509658 22.3102870000 35.7117870000
36.6800912774 36.4142720000 22.3630463864 22.3102870000 22.3865657020 39.3629633636 22.3102870000 36.4142720000
37.3842834241 37.1806190000 22.3220942366 22.3102870000 22.4691123729 39.9353397581 22.3102870000 37.1806190000
38.0225676946 37.7553800000 22.3428914971 22.3102870000 22.4260805068 40.5757037775 22.3102870000 37.7553800000
38.6608509658 38.5217270000 22.3636887251 22.3102870000 22.4447980185 41.1501589214 22.3102870000 38.5217270000
